,Unnamed: 0,prompts,inputs,outputs,max_gen_length,category,name,description,id,signature,test_list,gen_code,code_test
25,25,"['Assign the string ""{A}"" to a variable named ""my_string"".', 'Lowercase the given string ""my_string"".', 'Assign the distinct characters of the string to a variable named ""chars"".', 'Sort these characters in alphabetical order.', 'Print the resulting list of characters.']","[{'A': 'abcde'}, {'A': 'abcdecadeCADE'}, {'A': 'aaaaAAAAaaaa'}, {'A': 'Jerry jERRY JeRRRY'}, {'A': 'ddddc'}]","[['a', 'b', 'c', 'd', 'e'], ['a', 'b', 'c', 'd', 'e'], ['a'], [' ', 'e', 'j', 'r', 'y'], ['c', 'd']]",128.0,string,Distinct chars,"Print the sorted, case-insensitive unique characters of a string.",26,def distinct_chars(A):,"[""assert distinct_chars('abcde') == ['a', 'b', 'c', 'd', 'e']"", ""assert distinct_chars('abcdecadeCADE') == ['a', 'b', 'c', 'd', 'e']"", ""assert distinct_chars('aaaaAAAAaaaa') == ['a']"", ""assert distinct_chars('Jerry jERRY JeRRRY') == [' ', 'e', 'j', 'r', 'y']"", ""assert distinct_chars('ddddc') == ['c', 'd']""]","def distinct_chars(A):
	my_string = A
	distinct_chars = []
	for char in my_string:
		#If the character is not already in the list ""{distinct_chars}""...
		if char not in distinct_chars:
			#Add the character to the list ""{distinct_chars}"".
			distinct_chars.append(char)
	return distinct_chars

#
def lowercase(A):
	my_string = A
	lowercase_string = []
	for char in my_string:
		#If the character is not already in the list ""{lowercase_string}""...
		if char.islower():
			#Add the character to the list ""{lowercase_string}"".
			lowercase_string.append(char)
	return lowercase_string

#
def uppercase(A):
	chars = distinct_chars(A)
	lowercase_chars = lowercase(chars)
	uppercase_chars = []
	for char in lowercase_chars:
		#If the character is lowercase...
		if char.isupper():
			#Add the character to the list ""{uppercase_chars}"".
			uppercase_chars.append(char)
	return uppercase_chars

#
def is_
	sorted_chars = sorted(distinct_chars(A))
	if char in sorted_chars:
		#Return True.
		return True
	return False

#
def is_lowercase(A):
	chars = lowercase(A)
	lowercase_chars = []
	for char in chars:
		#If the character is lowercase...
		if char.islower():
			#Add the character to the list ""{lowercase_chars}"".
			
	print(lowercase_chars)
	return True

#
def is_uppercase(A):
	chars = uppercase(A)
	uppercase_chars = []
	for char in chars:
		#If the character is uppercase...
		if char.isupper():
			#Add the character to the list ""{uppercase_chars}"".
			
	print(uppercase_chars)
	return True

#
def is_number(A):","def distinct_chars(A):
	my_string = A
	distinct_chars = []
	for char in my_string:
		#If the character is not already in the list ""{distinct_chars}""...
		if char not in distinct_chars:
			#Add the character to the list ""{distinct_chars}"".
			distinct_chars.append(char)
	return distinct_chars

#
"
26,26,"['Create two variables ""a"" and ""b"" for the strings ""{A}"" and ""{B}"", respectively.', 'Define a function ""len_str"" that returns the length of a string.', 'Assign the length of each string to a seperate variable.', 'Assign the longer string to the variable ""result"".', 'Print the resulting string.']","[{'A': 'abcde', 'B': 'ab'}, {'A': 'ab', 'B': 'abcde'}, {'A': 'a', 'B': 'aa'}, {'A': 'aaaaaaaaaa', 'B': 'cdeee'}, {'A': 'f', 'B': 'gg'}]","['abcde', 'abcde', 'aa', 'aaaaaaaaaa', 'gg']",128.0,string,Longer string,Compare and print the longer string given two strings.,27,"def longer_string(A,B):","[""assert longer_string('abcde','ab') == 'abcde'"", ""assert longer_string('ab','abcde') == 'abcde'"", ""assert longer_string('a','aa') == 'aa'"", ""assert longer_string('aaaaaaaaaa','cdeee') == 'aaaaaaaaaa'"", ""assert longer_string('f','gg') == 'gg'""]","def longer_string(A,B):
	a = A
	b = B
	c = a + b
	print(c)

longer_string(""Hello"",""World"")

#Exercise 10
#Create a function called ""print_all_numbers"" that takes a list of numbers as an argument.
#Print the numbers in the list in reverse order.
def print_all_numbers(numbers):
	def len_str(str):
		return len(str)
	def reverse_list(list):
		return list[::-1]
	def print_list(list):
		for i in list:
			print(i)
	len_str(numbers)
	len_str_list = [len_str(i) for i in numbers]
	reverse_list_list = [reverse_list(i) for i in numbers]
	print_list(reverse_list_list)

print_all_numbers([1,2,3,4,5])

#Exercise 11
#Create a function called ""print_all_numbers"" that takes a list of numbers as an argument.
#Print the numbers in the list in reverse order.
def
	result = longer_string(""Hello"",""World"")
	print(result)

print_all_numbers([""Hello"",""World"",""Python""])

#Exercise 12
#Create a function called ""print_all_numbers"" that takes a list of numbers as an argument.
#Print the numbers in the list in reverse order.
def
	result = longer_string(""Hello"",""World"")
	print(result)

print_all_numbers([""Hello"",""World"",""Python""])

#Exercise 13
#Create a function called ""print_all_numbers"" that takes a list of numbers as an argument.
#Print the numbers in the list in reverse order.
def
	result = longer_string(""Hello"",""World"")
	print(result)

print_all_numbers([""Hello"",""World"",""Python""])

#Exercise 14
#Create a function called ""print_all_numbers"" that takes a list of numbers as an argument.","def longer_string(A,B):
	a = A
	b = B
	c = a + b
	print(c)

longer_string(""Hello"",""World"")

#Exercise 10
"
27,27,"['Assign the positive floating point number {A} to a variable ""f"".', 'Compute the integer part of the number as variable ""a"".', 'Assign the digits of the fractional part of the floating point number to an integer variable ""b"".', 'Add them together and print the result.']","[{'A': 17.82}, {'A': 1.1}, {'A': 1000000.0000001}, {'A': 0.0101}, {'A': 100.5}]","[99, 2, 1000001, 101, 105]",128.0,math,Sum float digits,Sum numbers before an after the decimal point of a float.,28,def sum_float_digits(A):,"['assert sum_float_digits(17.82) == 99', 'assert sum_float_digits(1.1) == 2', 'assert sum_float_digits(1000000.0000001) == 1000001', 'assert sum_float_digits(0.0101) == 101', 'assert sum_float_digits(100.5) == 105']","def sum_float_digits(A):
	f = A
	f = -A
	f = int(f)
	f = float(f)
	return f + f

#Print the sum of the positive and negative floating point numbers
","def sum_float_digits(A):
	f = A
	f = -A
	f = int(f)
	f = float(f)
	return f + f
"
28,28,"['Assign the string value {s} to a variable ""my_string"".', 'Lowercase the defined string.', 'Count the number of vowels', 'Print out the number']","[{'s': 'CelebrAtion'}, {'s': 'PaLm'}, {'s': 'PrEdictiOn'}, {'s': ''}, {'s': 'ABC'}]","[5, 1, 4, 0, 1]",128.0,string,Count vowels,Count the number of vowels in a string.,29,def count_vowels(s):,"[""assert count_vowels('CelebrAtion') == 5"", ""assert count_vowels('PaLm') == 1"", ""assert count_vowels('PrEdictiOn') == 4"", ""assert count_vowels('') == 0"", ""assert count_vowels('ABC') == 1""]","def count_vowels(s):
	my_string = s
	vowels_count = 0
	consonants_count = 0
	other_count = 0
	for i in my_string:
		if
	return vowels_count, consonants_count, other_count

#count_vowels(""Hello"")
#count_vowels(""

#count_vowels(""Hello"")
#count_vowels(""Hello"")

#count_vowels(""Hello"")
#count_vowels(""Hello"")

#count_vowels(""Hello"")
#count_vowels(""Hello"")

#count_vowels(""Hello"")
#count_vowels(""Hello"")","def count_vowels(s):
	my_string = s
	vowels_count = 0
	consonants_count = 0
	other_count = 0
	for i in my_string:
		if
	return vowels_count, consonants_count, other_count

#count_vowels(""Hello"")
"
29,29,"['Assign the positive integer {n} to a variable ""f"".', 'Create a list from 1 to ""f"" (inclusive).', 'Create and initialize a variable named ""factorial"".', 'Compute the product of all the values in the list and assign the product to ""factorial"".', 'Print out the variable ""factorial"".']","[{'n': 2}, {'n': 4}, {'n': 10}, {'n': 1}, {'n': 5}]","[2, 24, 3628800, 1, 120]",128.0,math,Factorial,Compute the factorial of n.,30,def factorial(n):,"['assert factorial(2) == 2', 'assert factorial(4) == 24', 'assert factorial(10) == 3628800', 'assert factorial(1) == 1', 'assert factorial(5) == 120']","def factorial(n):
	f = 1
	if n == 0 or n == 1:
		return 1
	else:
		for i in range(2, n + 1):
			f *= i
	return f

#Print the factorial of 5.
print(factorial(5))

#Print the factorial of 10.
print(factorial(10))

#Print the factorial of 10

	","def factorial(n):
	f = 1
	if n == 0 or n == 1:
		return 1
	else:
		for i in range(2, n + 1):
			f *= i
	return f

#Print the factorial of 5.
"
30,30,"['Given two positive integers, {a} {b}, which are the lengths of two edges of a triangle, compute the sum of the two edges and store it in a variable ""two-edges"".', 'Compute the maximum length of the third edge by substracting 1 from ""two-edges"" and store the value in a variable ""maximum-edge"".', 'Compute the minimum length of the third edge and store the value in a variable ""minimum-edge"".', 'Assign value of maximum-edge and minimum-edge to a tuple named ""my_tuple"".', 'Print the variable ""my_tuple"".']","[{'a': 8, 'b': 9}, {'a': 5, 'b': 7}, {'a': 9, 'b': 2}, {'a': 1, 'b': 1}, {'a': 1000, 'b': 1000}]","[[17, 2], [11, 3], [10, 8], [1, 1], [1999, 1]]",128.0,math,Max edge triangle,Finds the maximum range of a triangle's third edge.,31,"def max_edge_triangle(a,b):","['assert max_edge_triangle(8,9) == [17, 2]', 'assert max_edge_triangle(5,7) == [11, 3]', 'assert max_edge_triangle(9,2) == [10, 8]', 'assert max_edge_triangle(1,1) == [1, 1]', 'assert max_edge_triangle(1000,1000) == [1999, 1]']","def max_edge_triangle(a,b):
	two_edges = a + b
	return two_edges

def max_edge_triangle_2(a,b):
	two_edges = a + b
	return two_edges

def max_edge_triangle_3(a,b):
	maximum_edge = a - b - 1
	return maximum_edge

def max_edge_triangle_4(a,b):
	maximum_edge = a - b - 1
	return maximum_edge

def max_edge_triangle_5(a,b):
	minimum_edge = a - b - 1
	return minimum_edge

def max_edge_triangle_6(a,b):
	minimum_edge = a - b - 1
	return minimum_edge

def max_edge_triangle_7(a,b):
	minimum_edge = a - b - 1
	my_tuple = (maximum_edge,minimum_edge)
	return my_tuple

def max_edge_triangle_8(a,b):
	minimum_edge = a - b - 1
	my_tuple = (maximum_edge,minimum_edge)
	return my_tuple

def max_edge_triangle_9(a,b):
	minimum_edge = a - b - 1
	return minimum_edge

def max_edge_triangle_10(a,b):
	minimum_edge = a - b - 1
	return minimum_edge

def max_edge_triangle_11(a,b):
	minimum_edge = a - b - 1
	return minimum_edge

def max_edge_triangle_12(a,b):
	minimum_edge = a - b - 1","def max_edge_triangle(a,b):
	two_edges = a + b
	return two_edges

def max_edge_triangle_2(a,b):
	two_edges = a + b
	return two_edges

def max_edge_triangle_3(a,b):
	maximum_edge = a - b - 1
	return maximum_edge

def max_edge_triangle_4(a,b):
	maximum_edge = a - b - 1
	return maximum_edge

def max_edge_triangle_5(a,b):
	minimum_edge = a - b - 1
	return minimum_edge

def max_edge_triangle_6(a,b):
	minimum_edge = a - b - 1
	return minimum_edge

def max_edge_triangle_7(a,b):
	minimum_edge = a - b - 1
	my_tuple = (maximum_edge,minimum_edge)
	return my_tuple

def max_edge_triangle_8(a,b):
	minimum_edge = a - b - 1
	my_tuple = (maximum_edge,minimum_edge)
	return my_tuple

def max_edge_triangle_9(a,b):
	minimum_edge = a - b - 1
	return minimum_edge

def max_edge_triangle_10(a,b):
	minimum_edge = a - b - 1
	return minimum_edge

def max_edge_triangle_11(a,b):
	minimum_edge = a - b - 1
	return minimum_edge

def max_edge_triangle_12(a,b):
"
31,31,"['Compute factorial', 'Implement a function to compute the remainder when dividing a number by 10', 'Print out the remainder when dividing the factorial of {n} by 10']","[{'n': 2}, {'n': 4}, {'n': 10}, {'n': 1}, {'n': 5}]","[2, 4, 0, 1, 0]",128.0,math,Factorial and remainder,Compute the factorial and its remainder when divided.,32,def factorial_and_remainder(n):,"['assert factorial_and_remainder(2) == 2', 'assert factorial_and_remainder(4) == 4', 'assert factorial_and_remainder(10) == 0', 'assert factorial_and_remainder(1) == 1', 'assert factorial_and_remainder(5) == 0']","def factorial_and_remainder(n):
	fact = 1
	rem = 0
	while n > 0:
		fact *= n
		rem += n
		n -= 1
	return fact, rem

def main():
	n = int(input())
	fact, rem = factorial_and_remainder(n)
	print(fact, rem)
","def factorial_and_remainder(n):
	fact = 1
	rem = 0
	while n > 0:
		fact *= n
		rem += n
		n -= 1
	return fact, rem

def main():
	n = int(input())
	fact, rem = factorial_and_remainder(n)
"
32,32,"['Given a positive integer {n} and create a variable named ""n"" with this value', 'Compute the the total sum of internal angles in degrees of a regular-polygon with ""n"" sides', 'Convert the angle from degrees to radians', 'Round the angle to have two decimal digits', 'Print out the angle']","[{'n': 3}, {'n': 4}, {'n': 1000}, {'n': 10}, {'n': 100}]","[3.14, 6.28, 3135.31, 25.13, 307.88]",128.0,math,Sum polygon angles,Sum the angles in a polygon.,33,def sum_polygon_angles(n):,"['assert sum_polygon_angles(3) == 3.14', 'assert sum_polygon_angles(4) == 6.28', 'assert sum_polygon_angles(1000) == 3135.31', 'assert sum_polygon_angles(10) == 25.13', 'assert sum_polygon_angles(100) == 307.88']","def sum_polygon_angles(n):

	total_sum = 0
	for i in range(n):
		total_sum += (i+1) * 90

	return total_sum

def sum_polygon_area(n):

	total_sum = 0
	for i in range(n):
		total_sum += (i+1) * 90 * math.pi / 180

	return total_sum

def sum_polygon_perimeter(n):

	total_sum = 0
	for i in range(n):
		total_sum += (i+1) * 90 * math.pi / 180 * math.sqrt(2)
	return round(total_sum, 2)

def sum_polygon_perimeter_square(n):

	total_sum = 0
	for i in range(n):
		total_sum += (i+1) * 90 * math.pi / 180 * math.sqrt(2) * math.sqrt(2)
	return round(total_sum, 2)
","def sum_polygon_angles(n):

	total_sum = 0
	for i in range(n):
		total_sum += (i+1) * 90

	return total_sum

def sum_polygon_area(n):

	total_sum = 0
	for i in range(n):
		total_sum += (i+1) * 90 * math.pi / 180

	return total_sum

def sum_polygon_perimeter(n):

	total_sum = 0
	for i in range(n):
		total_sum += (i+1) * 90 * math.pi / 180 * math.sqrt(2)
	return round(total_sum, 2)

def sum_polygon_perimeter_square(n):

	total_sum = 0
	for i in range(n):
		total_sum += (i+1) * 90 * math.pi / 180 * math.sqrt(2) * math.sqrt(2)
"
33,33,"['Assign two strings {s1} and {s2} to the variable named s1 and the variable named s2 respectively', 'Convert s1 and s2 to integers', 'Compute the sum of the two integers and store it as the variable s', 'Print out the variable s']","[{'s1': '111', 's2': '222'}, {'s1': '2', 's2': '4'}, {'s1': '0', 's2': '12'}, {'s1': '50', 's2': '100'}, {'s1': '10000', 's2': '1'}]","[333, 6, 12, 150, 10001]",128.0,string,Sum string numbers,Add together two numbers represented in string.,34,"def sum_string_numbers(s1,s2):","['assert sum_string_numbers(111,222) == 333', 'assert sum_string_numbers(2,4) == 6', 'assert sum_string_numbers(0,12) == 12', 'assert sum_string_numbers(50,100) == 150', 'assert sum_string_numbers(10000,1) == 10001']","def sum_string_numbers(s1,s2):
	s1 = s1.split()
	s2 = s2.split()
	sum = 0
	for i in range(len(s1)):
		sum += int(s1[i])
	for i in range(len(s2)):
		sum += int(s2[i])
	return sum

	print(s1)
	print(s2)
	print(sum_string_numbers(s1,s2))

#Call the function
sum_string_numbers(""123"",""456"")","def sum_string_numbers(s1,s2):
	s1 = s1.split()
	s2 = s2.split()
	sum = 0
	for i in range(len(s1)):
		sum += int(s1[i])
	for i in range(len(s2)):
		sum += int(s2[i])
	return sum

	print(s1)
	print(s2)
	print(sum_string_numbers(s1,s2))

#Call the function
"
34,34,"['Initialize the variable named lst with an integer list {l}.', 'Find the maximum of the variable lst and assign it to a variable named ma.', 'Find the minimum of the variable lst and assign to a variable named mi.', 'Create a list from mi and ma (inclusive).', 'Print the sum of this list.']","[{'l': [4, 3, 8, 2]}, {'l': [17, 16, 15, 10, 11, 12]}, {'l': [1, 2]}, {'l': [10]}, {'l': [1, 100]}]","[35, 108, 3, 10, 5050]",128.0,array,Min-max sum,Sum the range from the minimum to the maximum of a list.,35,def min-max_sum(l):,"['assert min-max_sum([4, 3, 8, 2]) == 35', 'assert min-max_sum([17, 16, 15, 10, 11, 12]) == 108', 'assert min-max_sum([1, 2]) == 3', 'assert min-max_sum([10]) == 10', 'assert min-max_sum([1, 100]) == 5050']","def min-max_sum(l):
	lst = [int(i) for i in l]
	min_sum = lst[0]
	max_sum = lst[0]
	sum = 0
	for i in lst:
		#If the current value of {i} is less than the current value of {min_sum}, then update {min_sum}.
	
	return sum



#Call the function.
print(min_max_sum([1, 2, 3, 4, 5]))","def min-max_sum(l):
	lst = [int(i) for i in l]
	min_sum = lst[0]
	max_sum = lst[0]
	sum = 0
	for i in lst:
		#If the current value of {i} is less than the current value of {min_sum}, then update {min_sum}.
	
	return sum



#Call the function.
"
35,35,"['Implement a function to return the characters shared between two words.', 'Implement a function to find the number of vowels in a string.', 'Find the shared characters of {s1} and {s2}, concatenate them into a string, and assign it to a variable named s.', 'Print the number of vowels in the variable s']","[{'s1': 'meaty', 's2': 'apple'}, {'s1': 'fan', 's2': 'forsook'}, {'s1': 'spout', 's2': 'shout'}, {'s1': 'happiness', 's2': 'fitness'}, {'s1': 'code', 's2': 'fork'}]","[2, 0, 2, 2, 1]",128.0,string,Vowel overlap,Find the number of overlaped vowels of two words.,36,"def vowel_overlap(s1,s2):","[""assert vowel_overlap('meaty','apple') == 2"", ""assert vowel_overlap('fan','forsook') == 0"", ""assert vowel_overlap('spout','shout') == 2"", ""assert vowel_overlap('happiness','fitness') == 2"", ""assert vowel_overlap('code','fork') == 1""]","def vowel_overlap(s1,s2):
	vowels = ['a','e','i','o','u']
	s = ''.join(set(s1) & set(s2))
	if s == '':
		return False
	else:
		return True

#Test cases:
print(vowel_overlap('hello','ell'))
print(vowel_overlap('hello','ell'))
print(vowel_overlap('hello','ell'))
print(vowel_overlap('hello','ell'))
print(vowel_overlap('hello','ell'))
print(","def vowel_overlap(s1,s2):
	vowels = ['a','e','i','o','u']
	s = ''.join(set(s1) & set(s2))
	if s == '':
		return False
	else:
		return True

#Test cases:
"
36,36,"['Given a list of integers {l}, assign the list to a varialbe named lst1.', 'Find the negative numbers of the list and assign it to a new variable named lst2', 'Compute the sum of numbers in lst2', 'Print out the sum']","[{'l': [-1, -2, 0, 1, 5]}, {'l': [5, 2, 0, 5, 10]}, {'l': [-100, -20, -3, 0, 0]}, {'l': [-23, -2, -5, 1000, 23, -10, -100, -10]}, {'l': [5, 1000, 0, 1, 0, 0, 0, 1, 1]}]","[-3, 0, -123, -150, 0]",128.0,math,Sum neg,Sum of negative numbers in a list.,37,def sum_neg(l):,"['assert sum_neg([-1, -2, 0, 1, 5]) == -3', 'assert sum_neg([5, 2, 0, 5, 10]) == 0', 'assert sum_neg([-100, -20, -3, 0, 0]) == -123', 'assert sum_neg([-23, -2, -5, 1000, 23, -10, -100, -10]) == -150', 'assert sum_neg([5, 1000, 0, 1, 0, 0, 0, 1, 1]) == 0']","def sum_neg(l):
	lst1 = []
	for i in l:
		if i < 0:
			lst1.append(i)
	return lst1

#Sum of all the positive integers in the list.
def sum_pos(l):
	lst1 = []
	for i in l:
		if i > 0:
			lst1.append(i)
	return lst1

#Sum of all the positive integers in the list.

	lst2 = sum_neg(l)
	lst3 = sum_pos(l)
	sum = lst2 + lst3
	return sum

#Sum of all the positive integers in the list.
def sum_pos(l):
	lst1 = []
	for i in l:
		if i > 0:
			lst1.append(i)
	lst2 = sum_neg(l)
	lst3 = sum_pos(l)
	sum = lst2 + lst3
	return sum

#Sum of all the positive integers in the list.
def sum_pos(l):
	lst1 = []
	for i in l:
		if i > 0:
			lst1.append(i)
	lst2 = sum_neg(l)
	lst3 = sum_pos(l)
	sum = lst2 + lst3
	return sum

#Sum of all the positive integers in the list.
def sum_pos(l):
	lst1 = []
	for i in l:
		if i > 0:
			","def sum_neg(l):
	lst1 = []
	for i in l:
		if i < 0:
			lst1.append(i)
	return lst1

#Sum of all the positive integers in the list.
"
37,37,"['Import the pandas library.', 'Read a dataframe ""df"" from the csv file located in ""./datasets/mlbootcamp5_train.csv"".', 'Group by the column ""gender"" and assign the value counts for ""{a1}"" to a variable named ""my_counts"".', 'Assign the attribute ""values"" of this variable and to a new variable named ""plain_list"".', 'Print the maximum element of this list.']","[{'a1': 'alco'}, {'a1': 'age'}, {'a1': 'smoke'}, {'a1': 'active'}, {'a1': 'weight'}]","[44369, 25, 44717, 36516, 2770]",128.0,data science,Load dataset,Load from a file and print statistics.,38,def load_dataset(a1):,"[""assert load_dataset('alco') == 44369"", ""assert load_dataset('age') == 25"", ""assert load_dataset('smoke') == 44717"", ""assert load_dataset('active') == 36516"", ""assert load_dataset('weight') == 2770""]","def load_dataset(a1):
	import pandas as pd
	dataset = pd.read_csv(a1)
	return dataset

def load_dataset_from_csv(a1):
	import pandas as pd
	dataset = pd.read_csv(a1)
	return dataset

def load_dataset_from_json(a1):
	import pandas as pd
	dataset = pd.read_json(a1)
	return dataset

def load_dataset_from_json_file(a1):
	import pandas as pd
	dataset = pd.read_json(a1)
	return dataset

def load_dataset_from_json_file_with_header(a1):
	import pandas as pd
	dataset = pd.read_json(a1, lines=True)

	plain_list = dataset.values.tolist()

	columns_list = dataset.columns.tolist()

	index_list = dataset.index.tolist()

	columns_list = dataset.columns.tolist()

	print(max(plain_list))

	print(min(plain_list))

	print(sum(plain_list)/len(plain_list))

	print(statistics.median(plain_list))

	print(statistics.mode(plain_list))

	print(statistics.stdev(plain_list))
","def load_dataset(a1):
	import pandas as pd
	dataset = pd.read_csv(a1)
	return dataset

def load_dataset_from_csv(a1):
	import pandas as pd
	dataset = pd.read_csv(a1)
	return dataset

def load_dataset_from_json(a1):
	import pandas as pd
	dataset = pd.read_json(a1)
	return dataset

def load_dataset_from_json_file(a1):
	import pandas as pd
	dataset = pd.read_json(a1)
	return dataset

def load_dataset_from_json_file_with_header(a1):
	import pandas as pd
	dataset = pd.read_json(a1, lines=True)

	plain_list = dataset.values.tolist()

	columns_list = dataset.columns.tolist()

	index_list = dataset.index.tolist()

	columns_list = dataset.columns.tolist()

	print(max(plain_list))

	print(min(plain_list))

	print(sum(plain_list)/len(plain_list))

	print(statistics.median(plain_list))

	print(statistics.mode(plain_list))
"
38,38,"[""Define a string named 's' with the value '{s}'."", ""Import re and compile a regular expression that matches comma and period and store the result to variable 'pattern'"", ""Use the variable 'pattern' to substitute all the commas and periods in the string 's' and store the result to variable 's2'"", ""Split the string 's2' into a list of words with a space and store the result to variable 'words'"", ""Print a list of integers consisting of the length of each word in 'words'""]","[{'s': 'Hello, World!'}, {'s': 'Raising Skinny Elephants Is Utterly Boring'}, {'s': 'Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. '}, {'s': ',.'}, {'s': 'Wow! Is this a real sentence?'}]","[[5, 6], [7, 6, 9, 2, 7, 6], [5, 5, 5, 3, 4, 11, 10, 4, 3, 2, 7, 6, 10, 2, 6, 2, 6, 5, 6], [], [4, 2, 4, 1, 4, 9]]",,string,Char length list,Return a list of non-punctuation character lengths of a list of strings.,39,def char_length_list(s):,"[""assert char_length_list('Hello, World!') == [5, 6]"", ""assert char_length_list('Raising Skinny Elephants Is Utterly Boring') == [7, 6, 9, 2, 7, 6]"", ""assert char_length_list('Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. ') == [5, 5, 5, 3, 4, 11, 10, 4, 3, 2, 7, 6, 10, 2, 6, 2, 6, 5, 6]"", ""assert char_length_list(',.') == []"", ""assert char_length_list('Wow! Is this a real sentence?') == [4, 2, 4, 1, 4, 9]""]","def char_length_list(s):
	pattern = re.compile(r'[,\.]')
	char_length = [len(x) for x in pattern.findall(s)]
	return char_length

#Function to find the longest word in a string
def longest_word(s):
	pattern = re.compile(r'[,\.]')
	s2 = pattern.sub('', s)
	longest_word = max(s2.split(), key=len)
	return longest_word

#Function to find the longest word in a string
def longest_word_list(s):
	pattern = re.compile(r'[,\.]')
	s2 = pattern.sub('', s)
	words = s2.split()
	longest_word = max(words, key=len)
	return longest_word

#Function to find the longest word in a string
def longest_word_list_2(s):
	pattern = re.compile(r'[,\.]')
	s","def char_length_list(s):
	pattern = re.compile(r'[,\.]')
	char_length = [len(x) for x in pattern.findall(s)]
	return char_length

#Function to find the longest word in a string
"
39,39,"[""Create a variable named 's' with the value '{s}'."", ""Lowercase the variable 's' and store the result to variable 's2'."", ""Import re and compile a regular expression that matches a sharp symbol followed by three hexadecimal digits (0-9, a-f), store the result to variable 'pattern3'."", ""Compile a regular expression that matches a sharp symbol followed by six hexadecimal digits (0-9, a-f), store the result to variable 'pattern6'."", ""Print True if the variable 's2' if it matches with either of variables 'pattern3' or 'pattern6', False otherwise.""]","[{'s': '#FFF'}, {'s': '#egacea'}, {'s': '#12'}, {'s': '123456'}, {'s': '#ffb600'}]","[True, False, False, False, True]",,math,Hex to RGB,Convert a six hexadecimal digit string into list of RGB values.,40,def hex_to_rgb(s):,"[""assert hex_to_rgb('#FFF') == True"", ""assert hex_to_rgb('#egacea') == False"", ""assert hex_to_rgb('#12') == False"", 'assert hex_to_rgb(123456) == False', ""assert hex_to_rgb('#ffb600') == True""]","def hex_to_rgb(s):
	s = s.lstrip('#')
	s = [int(s[i:i+2], 16) for i in range(0, len(s), 2)]
	return tuple(s)

def rgb_to_hex(r, g, b):
	r = hex(r)[2:]
	s2 = [int(r[i:i+2], 16) for i in range(0, len(r), 2)]
	s3 = ''.join([str(i) for i in s2])
	return s3
","def hex_to_rgb(s):
	s = s.lstrip('#')
	s = [int(s[i:i+2], 16) for i in range(0, len(s), 2)]
	return tuple(s)

def rgb_to_hex(r, g, b):
	r = hex(r)[2:]
	s2 = [int(r[i:i+2], 16) for i in range(0, len(r), 2)]
	s3 = ''.join([str(i) for i in s2])
"
40,40,"[""Create a function called 'count_values' that takes a list of integers and returns a hash map of the number of times each integer appears in the list."", ""Apply the function 'count_values' to the list '{lst}' and store the result to variable 'counts'."", ""Print the integer with maximum count in the hash map 'counts', if the count is larger than half of the length of the list, otherwise print 'None'.""]","[{'lst': [1, 1, 2, 2, 2, 2]}, {'lst': []}, {'lst': [100, 100, 0]}, {'lst': [0, 0, 0, 0, 0, 1, 1, 1, 1]}, {'lst': [1, 2, 3, 4, 5, 6, 6, 6, 6, 6]}]","[2, None, 100, 0, None]",,array,Majority vote,Check if a certain element is the majority of a given list.,41,def majority_vote(lst):,"['assert majority_vote([1, 1, 2, 2, 2, 2]) == 2', 'assert majority_vote([]) == None', 'assert majority_vote([100, 100, 0]) == 100', 'assert majority_vote([0, 0, 0, 0, 0, 1, 1, 1, 1]) == 0', 'assert majority_vote([1, 2, 3, 4, 5, 6, 6, 6, 6, 6]) == None']","def majority_vote(lst):
	count_values = {}
	for i in lst:
		if i in count_values:
			count_values[i] += 1
		else:
			count_values[i] = 1
	most_common = max(count_values, key=count_values.get)
	return most_common

#Create a function called'majority_vote' that takes a

#Create a function called'majority_vote' that takes a

#Create a function called'majority

#Create a function called'majority' that takes a list of integers and returns the integer with maximum count in the hash map 'counts', if the count is larger than half of the length of the list, otherwise return 'None'.

#Create a function called'majority' that takes a list of integers and returns the integer with maximum count in the hash map 'counts', if the count is larger than half of the length of the list, otherwise return 'None'.

#Create a function called'majority' that takes a list of integers and returns the integer with maximum count in the hash map","def majority_vote(lst):
	count_values = {}
	for i in lst:
		if i in count_values:
			count_values[i] += 1
		else:
			count_values[i] = 1
	most_common = max(count_values, key=count_values.get)
	return most_common

#Create a function called'majority_vote' that takes a

#Create a function called'majority_vote' that takes a

#Create a function called'majority

#Create a function called'majority' that takes a list of integers and returns the integer with maximum count in the hash map 'counts', if the count is larger than half of the length of the list, otherwise return 'None'.

#Create a function called'majority' that takes a list of integers and returns the integer with maximum count in the hash map 'counts', if the count is larger than half of the length of the list, otherwise return 'None'.
"
