,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,prompts,inputs,outputs,max_gen_length,category,name,description,id,signature,gen_code,code_test,test_list
22,22,22,22,"['Import numpy and initialize a numpy array named X with values {array}.', 'Write a function that can take a numpy array and return an array of same size consisting of samples with replacement from the input.', 'Call the function {n} times and stack the arrays into a new 2d array named ""samples"".', 'Calculate the mean of each element in variable ""sample"" and store the result to ""mean"".', 'Compute the 2.5 and 97.5 percentile of the variable mean and store the values into a new list named ""percentile"".', 'Print the variable ""percentile"".']","[{'array': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49], 'n': 1000}, {'array': 'consisting of 1000 randomly sampled integers ranging from 0 to 10', 'n': 1000}, {'array': 'consisting of 1000 randomly sampled integers ranging from 0 to 10', 'n': 10000}, {'array': 'consisting of 1000 uniformly sampled floats in [0, 1)', 'n': 1000}, {'array': [1, 1, 1, 1, 1, 1, 1, 1, 1, 1], 'n': 100}]","[[20.525, 28.575], [4.8025, 5.1975], [4.8025, 5.1975], [0.4825, 0.5175], [1, 1]]",128.0,data science,Bootstrap 95% CI,"Define an array, sample N times, calculate means, calculate the percentile.",23,"def bootstrap_95_ci(array,n):","def bootstrap_95_ci(array,n):
	#Import numpy and initialize a numpy array named X with values {array}.
	import numpy as np
	#Write a function that can take a numpy array and return an array of same size consisting of samples with replacement from the input.
	#The probability that a sample will be drawn is 95% of the samples drawn.
	#Call the function {n} times and stack the arrays into a new 2d array named ""samples"".
	#Calculate the mean of each element in variable ""sample"" and store the result to ""mean"".
	#Compute the 2.5 and 97.5 percentile of the variable mean and store the values into a new list named ""percentile"".
	#Print the variable ""percentile"".","def bootstrap_95_ci(array,n):
	#Import numpy and initialize a numpy array named X with values {array}.
	import numpy as np
	#Write a function that can take a numpy array and return an array of same size consisting of samples with replacement from the input.
	#The probability that a sample will be drawn is 95% of the samples drawn.
	#Call the function {n} times and stack the arrays into a new 2d array named ""samples"".
	#Calculate the mean of each element in variable ""sample"" and store the result to ""mean"".
	#Compute the 2.5 and 97.5 percentile of the variable mean and store the values into a new list named ""percentile"".
","['assert bootstrap_95%_ci([0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49],1000) == [20.525, 28.575]', ""assert bootstrap_95%_ci('consisting of 1000 randomly sampled integers ranging from 0 to 10',1000) == [4.8025, 5.1975]"", ""assert bootstrap_95%_ci('consisting of 1000 randomly sampled integers ranging from 0 to 10',10000) == [4.8025, 5.1975]"", ""assert bootstrap_95%_ci('consisting of 1000 uniformly sampled floats in [0, 1)',1000) == [0.4825, 0.5175]"", 'assert bootstrap_95%_ci([1, 1, 1, 1, 1, 1, 1, 1, 1, 1],100) == [1, 1]']"
23,23,23,23,"['Given two positive integers {a} and {b}, store the even single digits between a and b (inclusive) as ""my_digits"".', 'Assign the sum of the even digits to the variable ""result"".', 'Print the resulting number as integer.']","[{'a': 8, 'b': 2}, {'a': 2, 'b': 8}, {'a': 2, 'b': 6}, {'a': 132, 'b': 6}, {'a': 17, 'b': 96}]","[20, 20, 12, 14, 0]",128.0,math,Sum even digits,Sum even digits between two numbers.,24,"def sum_even_digits(a,b):","def sum_even_digits(a,b):
	#Given two positive integers {a} and {b}, store the even single digits between a and b (inclusive) as ""my_digits"".
	my_digits = [a%10,b%10]
	#Assign the sum of the even digits to the variable ""result"".
	result = 0
	#Print the resulting number as integer.
	print(""The sum of the even digits between {} and {} is: {}"".format(a,b,result))","def sum_even_digits(a,b):
	#Given two positive integers {a} and {b}, store the even single digits between a and b (inclusive) as ""my_digits"".
	my_digits = [a%10,b%10]
	#Assign the sum of the even digits to the variable ""result"".
	result = 0
	#Print the resulting number as integer.
","['assert sum_even_digits(8,2) == 20', 'assert sum_even_digits(2,8) == 20', 'assert sum_even_digits(2,6) == 12', 'assert sum_even_digits(132,6) == 14', 'assert sum_even_digits(17,96) == 0']"
24,24,24,24,"['Find the maximum element in the list {A} and assign it to variable ""my_max"".', 'Find the minimum element in the same list.', 'Compute the different between ""my_max"" and the minimum element.', 'Print the difference']","[{'A': [0, 4]}, {'A': [4, 0]}, {'A': [0]}, {'A': [0, 7, 6]}, {'A': [2, 4, 7, 20, 6]}]","[4, 4, 0, 7, 18]",128.0,array,Min-max diff,Compute the difference between maximum and minimum numbers in a list.,25,def minmax_diff(A):,"def minmax_diff(A):
	#Find the maximum element in the list {A} and assign it to variable ""my_max"".
	my_max = max(A)
	#Find the minimum element in the same list.
	my_min = min(A)
	#Compute the different between ""my_max"" and the minimum element.
	diff = my_max - my_min
	#Print the difference.
	print(""The difference between maximum and minimum element is: "", diff)","def minmax_diff(A):
	#Find the maximum element in the list {A} and assign it to variable ""my_max"".
	my_max = max(A)
	#Find the minimum element in the same list.
	my_min = min(A)
	#Compute the different between ""my_max"" and the minimum element.
	diff = my_max - my_min
	#Print the difference.
","['assert min-max_diff([0, 4]) == 4', 'assert min-max_diff([4, 0]) == 4', 'assert min-max_diff([0]) == 0', 'assert min-max_diff([0, 7, 6]) == 7', 'assert min-max_diff([2, 4, 7, 20, 6]) == 18']"
25,25,25,25,"['Assign the string ""{A}"" to a variable named ""my_string"".', 'Lowercase the given string ""my_string"".', 'Assign the distinct characters of the string to a variable named ""chars"".', 'Sort these characters in alphabetical order.', 'Print the resulting list of characters.']","[{'A': 'abcde'}, {'A': 'abcdecadeCADE'}, {'A': 'aaaaAAAAaaaa'}, {'A': 'Jerry jERRY JeRRRY'}, {'A': 'ddddc'}]","[['a', 'b', 'c', 'd', 'e'], ['a', 'b', 'c', 'd', 'e'], ['a'], [' ', 'e', 'j', 'r', 'y'], ['c', 'd']]",128.0,string,Distinct chars,"Print the sorted, case-insensitive unique characters of a string.",26,def distinct_chars(A):,"def distinct_chars(A):
	#Assign the string ""{A}"" to a variable named ""my_string"".
	my_string = str(A)
	#Lowercase the given string ""my_string"".
	lower_my_string = my_string.lower()
	#Assign the distinct characters of the string to a variable named ""chars"".
	chars = list(set(lower_my_string))
	#Sort these characters in alphabetical order.
	chars.sort()
	#Print the resulting list of characters.
	print(chars)","def distinct_chars(A):
	#Assign the string ""{A}"" to a variable named ""my_string"".
	my_string = str(A)
	#Lowercase the given string ""my_string"".
	lower_my_string = my_string.lower()
	#Assign the distinct characters of the string to a variable named ""chars"".
	chars = list(set(lower_my_string))
	#Sort these characters in alphabetical order.
	chars.sort()
	#Print the resulting list of characters.
","[""assert distinct_chars('abcde') == ['a', 'b', 'c', 'd', 'e']"", ""assert distinct_chars('abcdecadeCADE') == ['a', 'b', 'c', 'd', 'e']"", ""assert distinct_chars('aaaaAAAAaaaa') == ['a']"", ""assert distinct_chars('Jerry jERRY JeRRRY') == [' ', 'e', 'j', 'r', 'y']"", ""assert distinct_chars('ddddc') == ['c', 'd']""]"
26,26,26,26,"['Create two variables ""a"" and ""b"" for the strings ""{A}"" and ""{B}"", respectively.', 'Define a function ""len_str"" that returns the length of a string.', 'Assign the length of each string to a seperate variable.', 'Assign the longer string to the variable ""result"".', 'Print the resulting string.']","[{'A': 'abcde', 'B': 'ab'}, {'A': 'ab', 'B': 'abcde'}, {'A': 'a', 'B': 'aa'}, {'A': 'aaaaaaaaaa', 'B': 'cdeee'}, {'A': 'f', 'B': 'gg'}]","['abcde', 'abcde', 'aa', 'aaaaaaaaaa', 'gg']",128.0,string,Longer string,Compare and print the longer string given two strings.,27,"def longer_string(A,B):","def longer_string(A,B):
	#Create two variables ""a"" and ""b"" for the strings ""{A}"" and ""{B}"", respectively.
	a = ""{A}""
	#Define a function ""len_str"" that returns the length of a string.
	def len_str(string):
	#Assign the length of each string to a seperate variable.
		length = len(string)
	#Assign the longer string to the variable ""result"".
		result = length
	#Print the resulting string.
		print(result)","def longer_string(A,B):
	#Create two variables ""a"" and ""b"" for the strings ""{A}"" and ""{B}"", respectively.
	a = ""{A}""
	#Define a function ""len_str"" that returns the length of a string.
	def len_str(string):
	#Assign the length of each string to a seperate variable.
		length = len(string)
	#Assign the longer string to the variable ""result"".
		result = length
	#Print the resulting string.
","[""assert longer_string('abcde','ab') == 'abcde'"", ""assert longer_string('ab','abcde') == 'abcde'"", ""assert longer_string('a','aa') == 'aa'"", ""assert longer_string('aaaaaaaaaa','cdeee') == 'aaaaaaaaaa'"", ""assert longer_string('f','gg') == 'gg'""]"
27,27,27,27,"['Assign the positive floating point number {A} to a variable ""f"".', 'Compute the integer part of the number as variable ""a"".', 'Assign the digits of the fractional part of the floating point number to an integer variable ""b"".', 'Add them together and print the result.']","[{'A': 17.82}, {'A': 1.1}, {'A': 1000000.0000001}, {'A': 0.0101}, {'A': 100.5}]","[99, 2, 1000001, 101, 105]",128.0,math,Sum float digits,Sum numbers before an after the decimal point of a float.,28,def sum_float_digits(A):,"def sum_float_digits(A):
	#Assign the positive floating point number {A} to a variable ""f"".
	f = A
	#Compute the integer part of the number as variable ""a"".
	a = int(A)
	#Assign the digits of the fractional part of the floating point number to an integer variable ""b"".
	b = int(f % 1)
	#Add them together and print the result.
	print(a+b)","def sum_float_digits(A):
	#Assign the positive floating point number {A} to a variable ""f"".
	f = A
	#Compute the integer part of the number as variable ""a"".
	a = int(A)
	#Assign the digits of the fractional part of the floating point number to an integer variable ""b"".
	b = int(f % 1)
	#Add them together and print the result.
","['assert sum_float_digits(17.82) == 99', 'assert sum_float_digits(1.1) == 2', 'assert sum_float_digits(1000000.0000001) == 1000001', 'assert sum_float_digits(0.0101) == 101', 'assert sum_float_digits(100.5) == 105']"
28,28,28,28,"['Assign the string value {s} to a variable ""my_string"".', 'Lowercase the defined string.', 'Count the number of vowels', 'Print out the number']","[{'s': 'CelebrAtion'}, {'s': 'PaLm'}, {'s': 'PrEdictiOn'}, {'s': ''}, {'s': 'ABC'}]","[5, 1, 4, 0, 1]",128.0,string,Count vowels,Count the number of vowels in a string.,29,def count_vowels(s):,"def count_vowels(s):
	#Assign the string value {s} to a variable ""my_string"".
	my_string = s
	#Lowercase the defined string.
	my_string = my_string.lower()
	#Count the number of vowels.
	vowels = 0
	#Print out the number of vowels.
	for letter in my_string:","def count_vowels(s):
	#Assign the string value {s} to a variable ""my_string"".
	my_string = s
	#Lowercase the defined string.
	my_string = my_string.lower()
	#Count the number of vowels.
	vowels = 0
	#Print out the number of vowels.
","[""assert count_vowels('CelebrAtion') == 5"", ""assert count_vowels('PaLm') == 1"", ""assert count_vowels('PrEdictiOn') == 4"", ""assert count_vowels('') == 0"", ""assert count_vowels('ABC') == 1""]"
29,29,29,29,"['Assign the positive integer {n} to a variable ""f"".', 'Create a list from 1 to ""f"" (inclusive).', 'Create and initialize a variable named ""factorial"".', 'Compute the product of all the values in the list and assign the product to ""factorial"".', 'Print out the variable ""factorial"".']","[{'n': 2}, {'n': 4}, {'n': 10}, {'n': 1}, {'n': 5}]","[2, 24, 3628800, 1, 120]",128.0,math,Factorial,Compute the factorial of n.,30,def factorial(n):,"def factorial(n):
	#Assign the positive integer {n} to a variable ""f"".
	f = 1
	#Create a list from 1 to ""f"" (inclusive).
	for i in range(1,n+1):
	#Create and initialize a variable named ""factorial"".
		factorial = 1
	#Compute the product of all the values in the list and assign the product to ""factorial"".
		for j in range(1,i+1):
	#Print out the variable ""factorial"".
			factorial *= j","def factorial(n):
	#Assign the positive integer {n} to a variable ""f"".
	f = 1
	#Create a list from 1 to ""f"" (inclusive).
	for i in range(1,n+1):
	#Create and initialize a variable named ""factorial"".
		factorial = 1
	#Compute the product of all the values in the list and assign the product to ""factorial"".
		for j in range(1,i+1):
	#Print out the variable ""factorial"".
","['assert factorial(2) == 2', 'assert factorial(4) == 24', 'assert factorial(10) == 3628800', 'assert factorial(1) == 1', 'assert factorial(5) == 120']"
30,30,30,30,"['Given two positive integers, {a} {b}, which are the lengths of two edges of a triangle, compute the sum of the two edges and store it in a variable ""two-edges"".', 'Compute the maximum length of the third edge by substracting 1 from ""two-edges"" and store the value in a variable ""maximum-edge"".', 'Compute the minimum length of the third edge and store the value in a variable ""minimum-edge"".', 'Assign value of maximum-edge and minimum-edge to a tuple named ""my_tuple"".', 'Print the variable ""my_tuple"".']","[{'a': 8, 'b': 9}, {'a': 5, 'b': 7}, {'a': 9, 'b': 2}, {'a': 1, 'b': 1}, {'a': 1000, 'b': 1000}]","[[17, 2], [11, 3], [10, 8], [1, 1], [1999, 1]]",128.0,math,Max edge triangle,Finds the maximum range of a triangle's third edge.,31,"def max_edge_triangle(a,b):","def max_edge_triangle(a,b):
	#Given two positive integers, {a} {b}, which are the lengths of two edges of a triangle, compute the sum of the two edges and store it in a variable ""two-edges"".

	#Compute the maximum length of the third edge by substracting 1 from ""two-edges"" and store the value in a variable ""maximum-edge"".
	two_edges = a-1
	#Compute the minimum length of the third edge and store the value in a variable ""minimum-edge"".
	minimum_edge = a
	#Assign value of maximum-edge and minimum-edge to a tuple named ""my_tuple"".
	my_tuple = (maximum_edge,minimum_edge)
	#Print the variable ""my_tuple"".
	print(my_tuple)","def max_edge_triangle(a,b):
	#Given two positive integers, {a} {b}, which are the lengths of two edges of a triangle, compute the sum of the two edges and store it in a variable ""two-edges"".

	#Compute the maximum length of the third edge by substracting 1 from ""two-edges"" and store the value in a variable ""maximum-edge"".
	two_edges = a-1
	#Compute the minimum length of the third edge and store the value in a variable ""minimum-edge"".
	minimum_edge = a
	#Assign value of maximum-edge and minimum-edge to a tuple named ""my_tuple"".
	my_tuple = (maximum_edge,minimum_edge)
	#Print the variable ""my_tuple"".
","['assert max_edge_triangle(8,9) == [17, 2]', 'assert max_edge_triangle(5,7) == [11, 3]', 'assert max_edge_triangle(9,2) == [10, 8]', 'assert max_edge_triangle(1,1) == [1, 1]', 'assert max_edge_triangle(1000,1000) == [1999, 1]']"
31,31,31,31,"['Compute factorial', 'Implement a function to compute the remainder when dividing a number by 10', 'Print out the remainder when dividing the factorial of {n} by 10']","[{'n': 2}, {'n': 4}, {'n': 10}, {'n': 1}, {'n': 5}]","[2, 4, 0, 1, 0]",128.0,math,Factorial and remainder,Compute the factorial and its remainder when divided.,32,def factorial_and_remainder(n):,"def factorial_and_remainder(n):
	#Compute factorial
	fact = 1
	#Implement a function to compute the remainder when dividing a number by 10 and multiplying by 10
	while (n > 1):
	#Print out the remainder when dividing the factorial of {n} by 10 and multiplying by 10
		print(fact % 10)","def factorial_and_remainder(n):
	#Compute factorial
	fact = 1
	#Implement a function to compute the remainder when dividing a number by 10 and multiplying by 10
	while (n > 1):
	#Print out the remainder when dividing the factorial of {n} by 10 and multiplying by 10
","['assert factorial_and_remainder(2) == 2', 'assert factorial_and_remainder(4) == 4', 'assert factorial_and_remainder(10) == 0', 'assert factorial_and_remainder(1) == 1', 'assert factorial_and_remainder(5) == 0']"
32,32,32,32,"['Given a positive integer {n} and create a variable named ""n"" with this value', 'Compute the the total sum of internal angles in degrees of a regular-polygon with ""n"" sides', 'Convert the angle from degrees to radians', 'Round the angle to have two decimal digits', 'Print out the angle']","[{'n': 3}, {'n': 4}, {'n': 1000}, {'n': 10}, {'n': 100}]","[3.14, 6.28, 3135.31, 25.13, 307.88]",128.0,math,Sum polygon angles,Sum the angles in a polygon.,33,def sum_polygon_angles(n):,"def sum_polygon_angles(n):
	#Given a positive integer {n} and create a variable named ""n"" with this value.
	#For each of the {n} vertices of the polygon, sum the angles between them and print the total sum of angles.
	#Compute the the total sum of internal angles in degrees of a regular-polygon with ""n"" sides.
	#Convert the angle from degrees to radians.
	#Round the angle to have two decimal digits.
	#Print out the angle in the format ""XX.XX"".","def sum_polygon_angles(n):
	#Given a positive integer {n} and create a variable named ""n"" with this value.
	#For each of the {n} vertices of the polygon, sum the angles between them and print the total sum of angles.
	#Compute the the total sum of internal angles in degrees of a regular-polygon with ""n"" sides.
	#Convert the angle from degrees to radians.
	#Round the angle to have two decimal digits.
","['assert sum_polygon_angles(3) == 3.14', 'assert sum_polygon_angles(4) == 6.28', 'assert sum_polygon_angles(1000) == 3135.31', 'assert sum_polygon_angles(10) == 25.13', 'assert sum_polygon_angles(100) == 307.88']"
33,33,33,33,"['Assign two strings {s1} and {s2} to the variable named s1 and the variable named s2 respectively', 'Convert s1 and s2 to integers', 'Compute the sum of the two integers and store it as the variable s', 'Print out the variable s']","[{'s1': '111', 's2': '222'}, {'s1': '2', 's2': '4'}, {'s1': '0', 's2': '12'}, {'s1': '50', 's2': '100'}, {'s1': '10000', 's2': '1'}]","[333, 6, 12, 150, 10001]",128.0,string,Sum string numbers,Add together two numbers represented in string.,34,"def sum_string_numbers(s1,s2):","def sum_string_numbers(s1,s2):
	#Assign two strings {s1} and {s2} to the variable named s1 and the variable named s2 respectively
	s1 = str(s1)
	#Convert s1 and s2 to integers
	s1 = int(s1)
	#Compute the sum of the two integers and store it as the variable s3
	s3 = s1 + s2
	#Print out the variable s3
	print(""The sum of "" + s1 + "" and "" + s2 + "" is "" + str(s3))","def sum_string_numbers(s1,s2):
	#Assign two strings {s1} and {s2} to the variable named s1 and the variable named s2 respectively
	s1 = str(s1)
	#Convert s1 and s2 to integers
	s1 = int(s1)
	#Compute the sum of the two integers and store it as the variable s3
	s3 = s1 + s2
	#Print out the variable s3
","['assert sum_string_numbers(111,222) == 333', 'assert sum_string_numbers(2,4) == 6', 'assert sum_string_numbers(0,12) == 12', 'assert sum_string_numbers(50,100) == 150', 'assert sum_string_numbers(10000,1) == 10001']"
34,34,34,34,"['Initialize the variable named lst with an integer list {l}.', 'Find the maximum of the variable lst and assign it to a variable named ma.', 'Find the minimum of the variable lst and assign to a variable named mi.', 'Create a list from mi and ma (inclusive).', 'Print the sum of this list.']","[{'l': [4, 3, 8, 2]}, {'l': [17, 16, 15, 10, 11, 12]}, {'l': [1, 2]}, {'l': [10]}, {'l': [1, 100]}]","[35, 108, 3, 10, 5050]",128.0,array,Min-max sum,Sum the range from the minimum to the maximum of a list.,35,def minmax_sum(l):,"def minmax_sum(l):
	#Initialize the variable named lst with an integer list {l}.
	lst = []
	#Find the maximum of the variable lst and assign it to a variable named ma.
	ma = max(l)
	#Find the minimum of the variable lst and assign to a variable named mi.
	mi = min(l)
	#Create a list from mi and ma (inclusive).
	#Append the maximum value to the end of the list lst.
	#Print the sum of this list.","def minmax_sum(l):
	#Initialize the variable named lst with an integer list {l}.
	lst = []
	#Find the maximum of the variable lst and assign it to a variable named ma.
	ma = max(l)
	#Find the minimum of the variable lst and assign to a variable named mi.
	mi = min(l)
	#Create a list from mi and ma (inclusive).
	#Append the maximum value to the end of the list lst.
","['assert min-max_sum([4, 3, 8, 2]) == 35', 'assert min-max_sum([17, 16, 15, 10, 11, 12]) == 108', 'assert min-max_sum([1, 2]) == 3', 'assert min-max_sum([10]) == 10', 'assert min-max_sum([1, 100]) == 5050']"
35,35,35,35,"['Implement a function to return the characters shared between two words.', 'Implement a function to find the number of vowels in a string.', 'Find the shared characters of {s1} and {s2}, concatenate them into a string, and assign it to a variable named s.', 'Print the number of vowels in the variable s']","[{'s1': 'meaty', 's2': 'apple'}, {'s1': 'fan', 's2': 'forsook'}, {'s1': 'spout', 's2': 'shout'}, {'s1': 'happiness', 's2': 'fitness'}, {'s1': 'code', 's2': 'fork'}]","[2, 0, 2, 2, 1]",128.0,string,Vowel overlap,Find the number of overlaped vowels of two words.,36,"def vowel_overlap(s1,s2):","def vowel_overlap(s1,s2):
	#Implement a function to return the characters shared between two words.
	# The two words may contain duplicate characters.
	#Implement a function to find the number of vowels in a string.
	#Find the shared characters of {s1} and {s2}, concatenate them into a string, and assign it to a variable named s.
	#Print the number of vowels in the variable s.","def vowel_overlap(s1,s2):
	#Implement a function to return the characters shared between two words.
	# The two words may contain duplicate characters.
	#Implement a function to find the number of vowels in a string.
	#Find the shared characters of {s1} and {s2}, concatenate them into a string, and assign it to a variable named s.
","[""assert vowel_overlap('meaty','apple') == 2"", ""assert vowel_overlap('fan','forsook') == 0"", ""assert vowel_overlap('spout','shout') == 2"", ""assert vowel_overlap('happiness','fitness') == 2"", ""assert vowel_overlap('code','fork') == 1""]"
36,36,36,36,"['Given a list of integers {l}, assign the list to a varialbe named lst1.', 'Find the negative numbers of the list and assign it to a new variable named lst2', 'Compute the sum of numbers in lst2', 'Print out the sum']","[{'l': [-1, -2, 0, 1, 5]}, {'l': [5, 2, 0, 5, 10]}, {'l': [-100, -20, -3, 0, 0]}, {'l': [-23, -2, -5, 1000, 23, -10, -100, -10]}, {'l': [5, 1000, 0, 1, 0, 0, 0, 1, 1]}]","[-3, 0, -123, -150, 0]",128.0,math,Sum neg,Sum of negative numbers in a list.,37,def sum_neg(l):,"def sum_neg(l):
	#Given a list of integers {l}, assign the list to a varialbe named lst1.
	lst1 = []
	#Find the negative numbers of the list and assign it to a new variable named lst2.
	for i in l:
	#Compute the sum of numbers in lst2.
		if i < 0:
	#Print out the sum of the negative numbers in lst2.
			print(i)","def sum_neg(l):
	#Given a list of integers {l}, assign the list to a varialbe named lst1.
	lst1 = []
	#Find the negative numbers of the list and assign it to a new variable named lst2.
	for i in l:
	#Compute the sum of numbers in lst2.
		if i < 0:
	#Print out the sum of the negative numbers in lst2.
","['assert sum_neg([-1, -2, 0, 1, 5]) == -3', 'assert sum_neg([5, 2, 0, 5, 10]) == 0', 'assert sum_neg([-100, -20, -3, 0, 0]) == -123', 'assert sum_neg([-23, -2, -5, 1000, 23, -10, -100, -10]) == -150', 'assert sum_neg([5, 1000, 0, 1, 0, 0, 0, 1, 1]) == 0']"
37,37,37,37,"['Import the pandas library.', 'Read a dataframe ""df"" from the csv file located in ""./datasets/mlbootcamp5_train.csv"".', 'Group by the column ""gender"" and assign the value counts for ""{a1}"" to a variable named ""my_counts"".', 'Assign the attribute ""values"" of this variable and to a new variable named ""plain_list"".', 'Print the maximum element of this list.']","[{'a1': 'alco'}, {'a1': 'age'}, {'a1': 'smoke'}, {'a1': 'active'}, {'a1': 'weight'}]","[44369, 25, 44717, 36516, 2770]",128.0,data science,Load dataset,Load from a file and print statistics.,38,def load_dataset(a1):,"def load_dataset(a1):
	#Import the pandas library.
	import pandas as pd
	#Read a dataframe ""df"" from the csv file located in ""./datasets/mlbootcamp5_train.csv"".
	df = pd.read_csv(a1)
	#Group by the column ""gender"" and assign the value counts for ""{a1}"" to a variable named ""my_counts"".
	my_counts = df.groupby(""gender"").count()
	#Assign the attribute ""values"" of this variable and to a new variable named ""plain_list"".
	plain_list = my_counts.values
	#Print the maximum element of this list.
	print(max(plain_list))","def load_dataset(a1):
	#Import the pandas library.
	import pandas as pd
	#Read a dataframe ""df"" from the csv file located in ""./datasets/mlbootcamp5_train.csv"".
	df = pd.read_csv(a1)
	#Group by the column ""gender"" and assign the value counts for ""{a1}"" to a variable named ""my_counts"".
	my_counts = df.groupby(""gender"").count()
	#Assign the attribute ""values"" of this variable and to a new variable named ""plain_list"".
	plain_list = my_counts.values
	#Print the maximum element of this list.
","[""assert load_dataset('alco') == 44369"", ""assert load_dataset('age') == 25"", ""assert load_dataset('smoke') == 44717"", ""assert load_dataset('active') == 36516"", ""assert load_dataset('weight') == 2770""]"
38,38,38,38,"[""Define a string named 's' with the value '{s}'."", ""Import re and compile a regular expression that matches comma and period and store the result to variable 'pattern'"", ""Use the variable 'pattern' to substitute all the commas and periods in the string 's' and store the result to variable 's2'"", ""Split the string 's2' into a list of words with a space and store the result to variable 'words'"", ""Print a list of integers consisting of the length of each word in 'words'""]","[{'s': 'Hello, World!'}, {'s': 'Raising Skinny Elephants Is Utterly Boring'}, {'s': 'Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. '}, {'s': ',.'}, {'s': 'Wow! Is this a real sentence?'}]","[[5, 6], [7, 6, 9, 2, 7, 6], [5, 5, 5, 3, 4, 11, 10, 4, 3, 2, 7, 6, 10, 2, 6, 2, 6, 5, 6], [], [4, 2, 4, 1, 4, 9]]",,string,Char length list,Return a list of non-punctuation character lengths of a list of strings.,39,def char_length_list(s):,"def char_length_list(s):
	#Define a string named's' with the value '{s}'.
	#Create an empty list called 'length_list' to store the length of each character in's'.
	#Import re and compile a regular expression that matches comma and period and store the result to variable 'pattern'
	#Use the variable 'pattern' to substitute all the commas and periods in the string's' and store the result to variable's2'
	#Split the string's2' into a list of words with a space and store the result to variable 'words'
	#Print a list of integers consisting of the length of each word in 'words'","def char_length_list(s):
	#Define a string named's' with the value '{s}'.
	#Create an empty list called 'length_list' to store the length of each character in's'.
	#Import re and compile a regular expression that matches comma and period and store the result to variable 'pattern'
	#Use the variable 'pattern' to substitute all the commas and periods in the string's' and store the result to variable's2'
	#Split the string's2' into a list of words with a space and store the result to variable 'words'
","[""assert char_length_list('Hello, World!') == [5, 6]"", ""assert char_length_list('Raising Skinny Elephants Is Utterly Boring') == [7, 6, 9, 2, 7, 6]"", ""assert char_length_list('Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. ') == [5, 5, 5, 3, 4, 11, 10, 4, 3, 2, 7, 6, 10, 2, 6, 2, 6, 5, 6]"", ""assert char_length_list(',.') == []"", ""assert char_length_list('Wow! Is this a real sentence?') == [4, 2, 4, 1, 4, 9]""]"
39,39,39,39,"[""Create a variable named 's' with the value '{s}'."", ""Lowercase the variable 's' and store the result to variable 's2'."", ""Import re and compile a regular expression that matches a sharp symbol followed by three hexadecimal digits (0-9, a-f), store the result to variable 'pattern3'."", ""Compile a regular expression that matches a sharp symbol followed by six hexadecimal digits (0-9, a-f), store the result to variable 'pattern6'."", ""Print True if the variable 's2' if it matches with either of variables 'pattern3' or 'pattern6', False otherwise.""]","[{'s': '#FFF'}, {'s': '#egacea'}, {'s': '#12'}, {'s': '123456'}, {'s': '#ffb600'}]","[True, False, False, False, True]",,math,Hex to RGB,Convert a six hexadecimal digit string into list of RGB values.,40,def hex_to_rgb(s):,"def hex_to_rgb(s):
	#Create a variable named's' with the value '{s}'.
	s = s.lstrip('#')
	#Lowercase the variable's' and store the result to variable's2'.
	s2 = s.lower()
	#Import re and compile a regular expression that matches a sharp symbol followed by three hexadecimal digits (0-9, a-f), store the result to variable 'pattern3'.
	pattern3 = re.compile('^#[0-9a-f]{3}$')
	#Compile a regular expression that matches a sharp symbol followed by six hexadecimal digits (0-9, a-f), store the result to variable 'pattern6'.
	pattern6 = re.compile('^#[0-9a-f]{6}$')
	#Print True if the variable's2' if it matches with either of variables 'pattern3' or 'pattern6', False otherwise.
	print(pattern3.match(s2) or pattern6.match(s2))","def hex_to_rgb(s):
	#Create a variable named's' with the value '{s}'.
	s = s.lstrip('#')
	#Lowercase the variable's' and store the result to variable's2'.
	s2 = s.lower()
	#Import re and compile a regular expression that matches a sharp symbol followed by three hexadecimal digits (0-9, a-f), store the result to variable 'pattern3'.
	pattern3 = re.compile('^#[0-9a-f]{3}$')
	#Compile a regular expression that matches a sharp symbol followed by six hexadecimal digits (0-9, a-f), store the result to variable 'pattern6'.
	pattern6 = re.compile('^#[0-9a-f]{6}$')
	#Print True if the variable's2' if it matches with either of variables 'pattern3' or 'pattern6', False otherwise.
","[""assert hex_to_rgb('#FFF') == True"", ""assert hex_to_rgb('#egacea') == False"", ""assert hex_to_rgb('#12') == False"", 'assert hex_to_rgb(123456) == False', ""assert hex_to_rgb('#ffb600') == True""]"
