,Unnamed: 0,instruction,test_list,generated_code,gen_code,code_test
21,21,"def shift_zeros(lst):
	""""""Move all the zeroes in a list to the right.""""""","[""assert shift_zeros(['a', 'b', 'c', 'd', 'e', 'f', 'g']) == ['a', 'b', 'c', 'd', 'e', 'f', 'g']"", ""assert shift_zeros(['a', 0, 0, 'b', 'c', 'd', 0, 1, 0, 1, 0, 3, 0, 1, 9, 0, 0, 0, 0, 9]) == ['a', 'b', 'c', 'd', 1, 1, 3, 1, 9, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"", 'assert shift_zeros([0]) == [0]', 'assert shift_zeros([-1, 0, 1e-05, 0, 1e-30, 0]) == [-1, 1e-05, 1e-30, 0, 0, 0]', 'assert shift_zeros([0, 1, None, 2, False, 1, 0]) == [1, None, 2, False, 1, 0, 0]']","def shift_zeros(lst):
	""""""Move all the zeroes in a list to the right.""""""
	for i in range(len(lst)):
		if lst[i] == 0:
			lst.insert(i, 0)
			lst.pop(i+1)
	return lst

def get_next_state(state, action):
	""""""Get the next state given the current state and action.""""""
	if action == 0:
		return state + 1
	elif action == 1:
		return state - 1
	elif action == 2:
		return state + 10
	elif action == 3:","def shift_zeros(lst):
	""""""Move all the zeroes in a list to the right.""""""
	for i in range(len(lst)):
		if lst[i] == 0:
			lst.insert(i, 0)
			lst.pop(i+1)
	return lst","def shift_zeros(lst):
	""""""Move all the zeroes in a list to the right.""""""
	for i in range(len(lst)):
		if lst[i] == 0:
			lst.insert(i, 0)
			lst.pop(i+1)
	return lst"
22,22,"def bootstrap_95%_ci(array,n):
	""""""Define an array, sample N times, calculate means, calculate the percentile.""""""","['assert bootstrap_95%_ci([0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49],1000) == [20.525, 28.575]', ""assert bootstrap_95%_ci('consisting of 1000 randomly sampled integers ranging from 0 to 10',1000) == [4.8025, 5.1975]"", ""assert bootstrap_95%_ci('consisting of 1000 randomly sampled integers ranging from 0 to 10',10000) == [4.8025, 5.1975]"", ""assert bootstrap_95%_ci('consisting of 1000 uniformly sampled floats in [0, 1)',1000) == [0.4825, 0.5175]"", 'assert bootstrap_95%_ci([1, 1, 1, 1, 1, 1, 1, 1, 1, 1],100) == [1, 1]']","def bootstrap_95%_ci(array,n):
	""""""Define an array, sample N times, calculate means, calculate the percentile.""""""
	mean = np.mean(array)
	array = np.array(array)
	array = array.reshape(len(array),1)
	array = array.repeat(n,axis=1)
	array = array.reshape(len(array),n)
	array = array.mean(axis=1)
	array = array.reshape(len(array),1)
	array = array.repeat(n,axis=1)
	array = array.reshape(len(array),n)
	array = array.mean(axis=1)","def bootstrap_95%_ci(array,n):
	""""""Define an array, sample N times, calculate means, calculate the percentile.""""""
	mean = np.mean(array)
	array = np.array(array)
	array = array.reshape(len(array),1)
	array = array.repeat(n,axis=1)
	array = array.reshape(len(array),n)
	array = array.mean(axis=1)
	array = array.reshape(len(array),1)
	array = array.repeat(n,axis=1)
	array = array.reshape(len(array),n)
	array = array.mean(axis=1)","def bootstrap_95%_ci(array,n):
	""""""Define an array, sample N times, calculate means, calculate the percentile.""""""
	mean = np.mean(array)
	array = np.array(array)
	array = array.reshape(len(array),1)
	array = array.repeat(n,axis=1)
	array = array.reshape(len(array),n)
	array = array.mean(axis=1)
	array = array.reshape(len(array),1)
	array = array.repeat(n,axis=1)
	array = array.reshape(len(array),n)
	array = array.mean(axis=1)"
23,23,"def sum_even_digits(a,b):
	""""""Sum even digits between two numbers.""""""","['assert sum_even_digits(8,2) == 20', 'assert sum_even_digits(2,8) == 20', 'assert sum_even_digits(2,6) == 12', 'assert sum_even_digits(132,6) == 14', 'assert sum_even_digits(17,96) == 0']","def sum_even_digits(a,b):
	""""""Sum even digits between two numbers.""""""
	return sum(int(i) for i in str(a) if int(i)%2==0) + sum(int(i) for i in str(b) if int(i)%2==0)

def sum_odd_digits(a,b):
	""""""Sum odd digits between two numbers.""""""
	return sum(int(i) for i in str(a) if int(i)%2!=0) + sum(int(i) for i in str(b) if int(i)%2!=0)

def sum_digits(a,","def sum_even_digits(a,b):
	""""""Sum even digits between two numbers.""""""
	return sum(int(i) for i in str(a) if int(i)%2==0) + sum(int(i) for i in str(b) if int(i)%2==0)","def sum_even_digits(a,b):
	""""""Sum even digits between two numbers.""""""
	return sum(int(i) for i in str(a) if int(i)%2==0) + sum(int(i) for i in str(b) if int(i)%2==0)"
24,24,"def min-max_diff(A):
	""""""Compute the difference between maximum and minimum numbers in a list.""""""","['assert min-max_diff([0, 4]) == 4', 'assert min-max_diff([4, 0]) == 4', 'assert min-max_diff([0]) == 0', 'assert min-max_diff([0, 7, 6]) == 7', 'assert min-max_diff([2, 4, 7, 20, 6]) == 18']","def min-max_diff(A):
	""""""Compute the difference between maximum and minimum numbers in a list.""""""
	return max(A) - min(A)

def min_max_diff_list(A):
	""""""Compute the difference between maximum and minimum numbers in a list.""""""
	return max(A) - min(A)

def min_max_diff_dict(A):
	""""""Compute the difference between maximum and minimum numbers in a list.""""""
	return max(A) - min(A)

def min_max_diff_tuple(A):
	""""""Compute the difference between maximum and minimum numbers in a list.""""""
	return max(A) -","def min-max_diff(A):
	""""""Compute the difference between maximum and minimum numbers in a list.""""""
	return max(A) - min(A)","def min-max_diff(A):
	""""""Compute the difference between maximum and minimum numbers in a list.""""""
	return max(A) - min(A)"
25,25,"def distinct_chars(A):
	""""""Print the sorted, case-insensitive unique characters of a string.""""""","[""assert distinct_chars('abcde') == ['a', 'b', 'c', 'd', 'e']"", ""assert distinct_chars('abcdecadeCADE') == ['a', 'b', 'c', 'd', 'e']"", ""assert distinct_chars('aaaaAAAAaaaa') == ['a']"", ""assert distinct_chars('Jerry jERRY JeRRRY') == [' ', 'e', 'j', 'r', 'y']"", ""assert distinct_chars('ddddc') == ['c', 'd']""]","def distinct_chars(A):
	""""""Print the sorted, case-insensitive unique characters of a string.""""""
	return sorted(set(A.lower()))

def distinct_chars_count(A):
	""""""Print the number of unique characters of a string.""""""
	return len(set(A.lower()))

def distinct_chars_count_sorted(A):
	""""""Print the number of unique characters of a string, sorted.""""""
	return sorted(set(A.lower()))

def distinct_chars_count_sorted_unique(A):
	""""""Print the number of unique characters of a string, sorted, ignoring case.""""""
	return sorted(set(A.lower","def distinct_chars(A):
	""""""Print the sorted, case-insensitive unique characters of a string.""""""
	return sorted(set(A.lower()))","def distinct_chars(A):
	""""""Print the sorted, case-insensitive unique characters of a string.""""""
	return sorted(set(A.lower()))"
26,26,"def longer_string(A,B):
	""""""Compare and print the longer string given two strings.""""""","[""assert longer_string('abcde','ab') == 'abcde'"", ""assert longer_string('ab','abcde') == 'abcde'"", ""assert longer_string('a','aa') == 'aa'"", ""assert longer_string('aaaaaaaaaa','cdeee') == 'aaaaaaaaaa'"", ""assert longer_string('f','gg') == 'gg'""]","def longer_string(A,B):
	""""""Compare and print the longer string given two strings.""""""
	if len(A) > len(B):
		print(A)
	else:
		print(B)

longer_string(""Hello"",""World"")
longer_string(""Hello"",""Hello"")
longer_string(""Hello"",""Hello World"")
longer_string(""Hello"",""Hello World Hello"")
longer_string(""Hello"",""Hello World Hello World"")
longer_string(""Hello"",""Hello World Hello World Hello World"")
longer_string(""Hello"",""Hello World Hello World Hello World Hello World"")
longer_string(""Hello"",""Hello World Hello","def longer_string(A,B):
	""""""Compare and print the longer string given two strings.""""""
	if len(A) > len(B):
		print(A)
	else:
		print(B)","def longer_string(A,B):
	""""""Compare and print the longer string given two strings.""""""
	if len(A) > len(B):
		return(A)
	else:
		return(B)"
27,27,"def sum_float_digits(A):
	""""""Sum numbers before an after the decimal point of a float.""""""","['assert sum_float_digits(17.82) == 99', 'assert sum_float_digits(1.1) == 2', 'assert sum_float_digits(1000000.0000001) == 1000001', 'assert sum_float_digits(0.0101) == 101', 'assert sum_float_digits(100.5) == 105']","def sum_float_digits(A):
	""""""Sum numbers before an after the decimal point of a float.""""""
	return sum(int(i) for i in str(A))

def sum_float_digits_with_decimal_point(A):
	""""""Sum numbers before an after the decimal point of a float.""""""
	return sum(int(i) for i in str(A).split('.')[0])

def sum_float_digits_with_decimal_point_and_exponent(A):
	""""""Sum numbers before an after the decimal point of a float.""""""
	return sum(int(i) for i in str(A).split('.')[1])

def sum","def sum_float_digits(A):
	""""""Sum numbers before an after the decimal point of a float.""""""
	return sum(int(i) for i in str(A))","def sum_float_digits(A):
	""""""Sum numbers before an after the decimal point of a float.""""""
	return sum(int(i) for i in str(A))"
28,28,"def count_vowels(s):
	""""""Count the number of vowels in a string.""""""","[""assert count_vowels('CelebrAtion') == 5"", ""assert count_vowels('PaLm') == 1"", ""assert count_vowels('PrEdictiOn') == 4"", ""assert count_vowels('') == 0"", ""assert count_vowels('ABC') == 1""]","def count_vowels(s):
	""""""Count the number of vowels in a string.""""""
	vowels = ['a', 'e', 'i', 'o', 'u']
	return sum(s.count(v) for v in vowels)

def count_consonants(s):
	""""""Count the number of consonants in a string.""""""
	consonants = ['b', 'c', 'd', 'f', 'g', 'h', 'j', 'k', 'l','m', 'n', 'p', 'q', 'r','s', 't', 'v', 'w', 'x', 'y',","def count_vowels(s):
	""""""Count the number of vowels in a string.""""""
	vowels = ['a', 'e', 'i', 'o', 'u']
	return sum(s.count(v) for v in vowels)","def count_vowels(s):
	""""""Count the number of vowels in a string.""""""
	vowels = ['a', 'e', 'i', 'o', 'u']
	return sum(s.count(v) for v in vowels)"
29,29,"def factorial(n):
	""""""Compute the factorial of n.""""""","['assert factorial(2) == 2', 'assert factorial(4) == 24', 'assert factorial(10) == 3628800', 'assert factorial(1) == 1', 'assert factorial(5) == 120']","def factorial(n):
	""""""Compute the factorial of n.""""""
	if n == 0:
		return 1
	else:
		return n * factorial(n - 1)

def fibonacci(n):
	""""""Compute the nth Fibonacci number.""""""
	if n == 0:
		return 0
	elif n == 1:
		return 1
	else:
		return fibonacci(n - 1) + fibonacci(n - 2)

def fibonacci_recursive(n):
	""""""Compute the nth Fibonacci number.""""""
	if n == 0:
		return","def factorial(n):
	""""""Compute the factorial of n.""""""
	if n == 0:
		return 1
	else:
		return n * factorial(n - 1)","def factorial(n):
	""""""Compute the factorial of n.""""""
	if n == 0:
		return 1
	else:
		return n * factorial(n - 1)"
30,30,"def max_edge_triangle(a,b):
	""""""Finds the maximum range of a triangle's third edge.""""""","['assert max_edge_triangle(8,9) == [17, 2]', 'assert max_edge_triangle(5,7) == [11, 3]', 'assert max_edge_triangle(9,2) == [10, 8]', 'assert max_edge_triangle(1,1) == [1, 1]', 'assert max_edge_triangle(1000,1000) == [1999, 1]']","def max_edge_triangle(a,b):
	""""""Finds the maximum range of a triangle's third edge.""""""
	return max(a,b) - min(a,b)

def max_edge_square(a,b,c):
	""""""Finds the maximum range of a square's third edge.""""""
	return max(a,b,c) - min(a,b,c)

def max_edge_rectangle(a,b,c,d):
	""""""Finds the maximum range of a rectangle's third edge.""""""
	return max(a,b,c,d) - min(a,b,c,d)

def max_edge","def max_edge_triangle(a,b):
	""""""Finds the maximum range of a triangle's third edge.""""""
	return max(a,b) - min(a,b)","def max_edge_triangle(a,b):
	""""""Finds the maximum range of a triangle's third edge.""""""
	return max(a,b) - min(a,b)"
31,31,"def factorial_and_remainder(n):
	""""""Compute the factorial and its remainder when divided.""""""","['assert factorial_and_remainder(2) == 2', 'assert factorial_and_remainder(4) == 4', 'assert factorial_and_remainder(10) == 0', 'assert factorial_and_remainder(1) == 1', 'assert factorial_and_remainder(5) == 0']","def factorial_and_remainder(n):
	""""""Compute the factorial and its remainder when divided.""""""
	fact = 1
	for i in range(1, n+1):
		fact *= i
	return fact, fact % n

def main():
	""""""Main function.""""""
	n = int(input(""Enter a number: ""))
	fact, rem = factorial_and_remainder(n)
	print(""Factorial: "", fact)
	print(""Remainder: "", rem)

if __name__ == ""__main__"":
	main()
<|endoftext|>","def factorial_and_remainder(n):
	""""""Compute the factorial and its remainder when divided.""""""
	fact = 1
	for i in range(1, n+1):
		fact *= i
	return fact, fact % n","def factorial_and_remainder(n):
	""""""Compute the factorial and its remainder when divided.""""""
	fact = 1
	for i in range(1, n+1):
		fact *= i
	return fact, fact % n"
32,32,"def sum_polygon_angles(n):
	""""""Sum the angles in a polygon.""""""","['assert sum_polygon_angles(3) == 3.14', 'assert sum_polygon_angles(4) == 6.28', 'assert sum_polygon_angles(1000) == 3135.31', 'assert sum_polygon_angles(10) == 25.13', 'assert sum_polygon_angles(100) == 307.88']","def sum_polygon_angles(n):
	""""""Sum the angles in a polygon.""""""
	angles = 0
	for i in range(n):
		angles += (i + 1) * (i + 2) / 2
	return angles

def sum_polygon_area(n):
	""""""Sum the area of a polygon.""""""
	return sum_polygon_angles(n) / 2

def sum_polygon_perimeter(n):
	""""""Sum the perimeter of a polygon.""""""
	return 2 * n + sum_polygon_angles(n)

def sum_polygon_volume(n):
	""""""Sum","def sum_polygon_angles(n):
	""""""Sum the angles in a polygon.""""""
	angles = 0
	for i in range(n):
		angles += (i + 1) * (i + 2) / 2
	return angles","def sum_polygon_angles(n):
	""""""Sum the angles in a polygon.""""""
	angles = 0
	for i in range(n):
		angles += (i + 1) * (i + 2) / 2
	return angles"
33,33,"def sum_string_numbers(s1,s2):
	""""""Add together two numbers represented in string.""""""","['assert sum_string_numbers(111,222) == 333', 'assert sum_string_numbers(2,4) == 6', 'assert sum_string_numbers(0,12) == 12', 'assert sum_string_numbers(50,100) == 150', 'assert sum_string_numbers(10000,1) == 10001']","def sum_string_numbers(s1,s2):
	""""""Add together two numbers represented in string.""""""
	return int(s1) + int(s2)

def sum_string_numbers_2(s1,s2):
	""""""Add together two numbers represented in string.""""""
	return int(s1) + int(s2)

def sum_string_numbers_3(s1,s2):
	""""""Add together two numbers represented in string.""""""
	return int(s1) + int(s2)

def sum_string_numbers_4(s1,s2):
	""""""Add together two numbers represented in string.""""""
	","def sum_string_numbers(s1,s2):
	""""""Add together two numbers represented in string.""""""
	return int(s1) + int(s2)","def sum_string_numbers(s1,s2):
	""""""Add together two numbers represented in string.""""""
	return int(s1) + int(s2)"
34,34,"def min-max_sum(l):
	""""""Sum the range from the minimum to the maximum of a list.""""""","['assert min-max_sum([4, 3, 8, 2]) == 35', 'assert min-max_sum([17, 16, 15, 10, 11, 12]) == 108', 'assert min-max_sum([1, 2]) == 3', 'assert min-max_sum([10]) == 10', 'assert min-max_sum([1, 100]) == 5050']","def min-max_sum(l):
	""""""Sum the range from the minimum to the maximum of a list.""""""
	return sum(range(min(l), max(l) + 1))

def min_max_sum_list(l):
	""""""Sum the range from the minimum to the maximum of a list.""""""
	return sum(range(min(l), max(l) + 1))

def min_max_sum_dict(d):
	""""""Sum the range from the minimum to the maximum of a list.""""""
	return sum(range(min(d.values()), max(d.values()) + 1))

def min_max_sum_","def min-max_sum(l):
	""""""Sum the range from the minimum to the maximum of a list.""""""
	return sum(range(min(l), max(l) + 1))","def min-max_sum(l):
	""""""Sum the range from the minimum to the maximum of a list.""""""
	return sum(range(min(l), max(l) + 1))"
35,35,"def vowel_overlap(s1,s2):
	""""""Find the number of overlaped vowels of two words.""""""","[""assert vowel_overlap('meaty','apple') == 2"", ""assert vowel_overlap('fan','forsook') == 0"", ""assert vowel_overlap('spout','shout') == 2"", ""assert vowel_overlap('happiness','fitness') == 2"", ""assert vowel_overlap('code','fork') == 1""]","def vowel_overlap(s1,s2):
	""""""Find the number of overlaped vowels of two words.""""""
	vowels = ['a','e','i','o','u']
	overlap = 0
	for i in range(len(s1)):
		if s1[i] in vowels and s2[i] in vowels:
			overlap += 1
	return overlap

def vowel_overlap_count(s1,s2):
	""""""Find the number of overlaped vowels of two words.""""""
	vowels = ['a','e','i','o','u']
	overlap = 0
	for i in range(len(s","def vowel_overlap(s1,s2):
	""""""Find the number of overlaped vowels of two words.""""""
	vowels = ['a','e','i','o','u']
	overlap = 0
	for i in range(len(s1)):
		if s1[i] in vowels and s2[i] in vowels:
			overlap += 1
	return overlap","def vowel_overlap(s1,s2):
	""""""Find the number of overlaped vowels of two words.""""""
	vowels = ['a','e','i','o','u']
	overlap = 0
	for i in range(len(s1)):
		if s1[i] in vowels and s2[i] in vowels:
			overlap += 1
	return overlap"
36,36,"def sum_neg(l):
	""""""Sum of negative numbers in a list.""""""","['assert sum_neg([-1, -2, 0, 1, 5]) == -3', 'assert sum_neg([5, 2, 0, 5, 10]) == 0', 'assert sum_neg([-100, -20, -3, 0, 0]) == -123', 'assert sum_neg([-23, -2, -5, 1000, 23, -10, -100, -10]) == -150', 'assert sum_neg([5, 1000, 0, 1, 0, 0, 0, 1, 1]) == 0']","def sum_neg(l):
	""""""Sum of negative numbers in a list.""""""
	return sum(filter(lambda x: x < 0, l))

def sum_pos(l):
	""""""Sum of positive numbers in a list.""""""
	return sum(filter(lambda x: x > 0, l))

def sum_pos_neg(l):
	""""""Sum of positive and negative numbers in a list.""""""
	return sum(filter(lambda x: x > 0, filter(lambda x: x < 0, l)))

def sum_pos_neg_zero(l):
	""""""Sum of positive and negative numbers in","def sum_neg(l):
	""""""Sum of negative numbers in a list.""""""
	return sum(filter(lambda x: x < 0, l))","def sum_neg(l):
	""""""Sum of negative numbers in a list.""""""
	return sum(filter(lambda x: x < 0, l))"
37,37,"def load_dataset(a1):
	""""""Load from a file and print statistics.""""""","[""assert load_dataset('alco') == 44369"", ""assert load_dataset('age') == 25"", ""assert load_dataset('smoke') == 44717"", ""assert load_dataset('active') == 36516"", ""assert load_dataset('weight') == 2770""]","def load_dataset(a1):
	""""""Load from a file and print statistics.""""""
	print(""Loading data..."")
	data = np.loadtxt(a1, delimiter="","")
	print(""Data shape: "", data.shape)
	print(""Data min: "", np.min(data))
	print(""Data max: "", np.max(data))
	print(""Data mean: "", np.mean(data))
	print(""Data std: "", np.std(data))
	print(""Data median: "", np.median(data))
	print(""Data 95%: "", np.percentile(data, 95))
	print(""","def load_dataset(a1):
	""""""Load from a file and print statistics.""""""
	print(""Loading data..."")
	data = np.loadtxt(a1, delimiter="","")
	print(""Data shape: "", data.shape)
	print(""Data min: "", np.min(data))
	print(""Data max: "", np.max(data))
	print(""Data mean: "", np.mean(data))
	print(""Data std: "", np.std(data))
	print(""Data median: "", np.median(data))
	print(""Data 95%: "", np.percentile(data, 95))
	print(""","def load_dataset(a1):
	""""""Load from a file and print statistics.""""""
	return(""Loading data..."")
	data = np.loadtxt(a1, delimiter="","")
	return(""Data shape: "", data.shape)
	return(""Data min: "", np.min(data))
	return(""Data max: "", np.max(data))
	return(""Data mean: "", np.mean(data))
	return(""Data std: "", np.std(data))
	return(""Data median: "", np.median(data))
	return(""Data 95%: "", np.percentile(data, 95))
	print("""
38,38,"def char_length_list(s):
	""""""Return a list of non-punctuation character lengths of a list of strings.""""""","[""assert char_length_list('Hello, World!') == [5, 6]"", ""assert char_length_list('Raising Skinny Elephants Is Utterly Boring') == [7, 6, 9, 2, 7, 6]"", ""assert char_length_list('Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. ') == [5, 5, 5, 3, 4, 11, 10, 4, 3, 2, 7, 6, 10, 2, 6, 2, 6, 5, 6]"", ""assert char_length_list(',.') == []"", ""assert char_length_list('Wow! Is this a real sentence?') == [4, 2, 4, 1, 4, 9]""]","def char_length_list(s):
	""""""Return a list of non-punctuation character lengths of a list of strings.""""""
	return [len(c) for c in s if c not in string.punctuation]

def char_length_list_with_punctuation(s):
	""""""Return a list of non-punctuation character lengths of a list of strings.""""""
	return [len(c) for c in s if c not in string.punctuation]

def char_length_list_with_punctuation_and_numbers(s):
	""""""Return a list of non-punctuation character lengths of a list of strings.""""""
	return [len(c) for c in s if c not in string.","def char_length_list(s):
	""""""Return a list of non-punctuation character lengths of a list of strings.""""""
	return [len(c) for c in s if c not in string.punctuation]","def char_length_list(s):
	""""""Return a list of non-punctuation character lengths of a list of strings.""""""
	return [len(c) for c in s if c not in string.punctuation]"
39,39,"def hex_to_rgb(s):
	""""""Convert a six hexadecimal digit string into list of RGB values.""""""","[""assert hex_to_rgb('#FFF') == True"", ""assert hex_to_rgb('#egacea') == False"", ""assert hex_to_rgb('#12') == False"", 'assert hex_to_rgb(123456) == False', ""assert hex_to_rgb('#ffb600') == True""]","def hex_to_rgb(s):
	""""""Convert a six hexadecimal digit string into list of RGB values.""""""
	return [int(s[i:i+2], 16) for i in range(0, len(s), 2)]

def rgb_to_hex(r, g, b):
	""""""Convert a list of RGB values into six hexadecimal digit strings.""""""
	return ''.join(['%02x' % c for c in (r, g, b)])

def rgb_to_hsv(r, g, b):
	""""""Convert a list of RGB values into HSV values.""""""
	r, g, b = [float(c) /","def hex_to_rgb(s):
	""""""Convert a six hexadecimal digit string into list of RGB values.""""""
	return [int(s[i:i+2], 16) for i in range(0, len(s), 2)]","def hex_to_rgb(s):
	""""""Convert a six hexadecimal digit string into list of RGB values.""""""
	return [int(s[i:i+2], 16) for i in range(0, len(s), 2)]"
40,40,"def majority_vote(lst):
	""""""Check if a certain element is the majority of a given list.""""""","['assert majority_vote([1, 1, 2, 2, 2, 2]) == 2', 'assert majority_vote([]) == None', 'assert majority_vote([100, 100, 0]) == 100', 'assert majority_vote([0, 0, 0, 0, 0, 1, 1, 1, 1]) == 0', 'assert majority_vote([1, 2, 3, 4, 5, 6, 6, 6, 6, 6]) == None']","def majority_vote(lst):
	""""""Check if a certain element is the majority of a given list.""""""
	count = 0
	for i in lst:
		if i == lst[count]:
			count += 1
		else:
			count = 0
	return count > len(lst) // 2

def main():
	""""""Main function.""""""
	# Read the input file
	with open(sys.argv[1], 'r') as f:
		lines = f.readlines()

	# Parse the input file
	votes = [int(line.strip()) for line in lines]

	# Calculate the majority vote
	majority","def majority_vote(lst):
	""""""Check if a certain element is the majority of a given list.""""""
	count = 0
	for i in lst:
		if i == lst[count]:
			count += 1
		else:
			count = 0
	return count > len(lst) // 2","def majority_vote(lst):
	""""""Check if a certain element is the majority of a given list.""""""
	count = 0
	for i in lst:
		if i == lst[count]:
			count += 1
		else:
			count = 0
	return count > len(lst) // 2"
41,41,"def week_later(year,month,day):
	""""""Print the formatted date of a week later given a date.""""""","[""assert week_later(1990,1,28) == '02/04/1990'"", ""assert week_later(2000,2,26) == '03/04/2000'"", ""assert week_later(2022,12,28) == '01/04/2023'"", 'assert week_later(1274,11,5) == 0.0007195185766614338', ""assert week_later(1600,7,30) == '08/06/1600'""]","def week_later(year,month,day):
	""""""Print the formatted date of a week later given a date.""""""
	return date(year,month,day+7)

def week_earlier(year,month,day):
	""""""Print the formatted date of a week earlier given a date.""""""
	return date(year,month,day-7)

def month_later(year,month,day):
	""""""Print the formatted date of a month later given a date.""""""
	return date(year,month+1,day)

def month_earlier(year,month,day):
	""""""Print the formatted date of a month earlier given a date.""""""
	return","def week_later(year,month,day):
	""""""Print the formatted date of a week later given a date.""""""
	return date(year,month,day+7)","def week_later(year,month,day):
	""""""Print the formatted date of a week later given a date.""""""
	return date(year,month,day+7)"
42,42,"def sorted_word_weights(words):
	""""""Calculate the sum of ASCII values of each word and check if the list is sorted.""""""","[""assert sorted_word_weights(['apple', 'banana', 'carrot']) == True"", 'assert sorted_word_weights([""I\'ll"", \'see\', \'trees.\']) == True', ""assert sorted_word_weights(['a...', 'b?', 'c!', 'd']) == True"", ""assert sorted_word_weights(['', 'a', 'A']) == False"", ""assert sorted_word_weights(['ABC', 'ghijklmno', 'def']) == False""]","def sorted_word_weights(words):
	""""""Calculate the sum of ASCII values of each word and check if the list is sorted.""""""
	word_weights = []
	for word in words:
		word_weights.append(sum([ord(char) for char in word]))
	return sorted(word_weights)

def get_word_weights(words):
	""""""Calculate the sum of ASCII values of each word and return a list of tuples.""""""
	word_weights = []
	for word in words:
		word_weights.append((sum([ord(char) for char in word]), word))
	return word_weights

def get_word_weights_sorted(words):
	","def sorted_word_weights(words):
	""""""Calculate the sum of ASCII values of each word and check if the list is sorted.""""""
	word_weights = []
	for word in words:
		word_weights.append(sum([ord(char) for char in word]))
	return sorted(word_weights)","def sorted_word_weights(words):
	""""""Calculate the sum of ASCII values of each word and check if the list is sorted.""""""
	word_weights = []
	for word in words:
		word_weights.append(sum([ord(char) for char in word]))
	return sorted(word_weights)"
43,43,"def create_palindrome(n):
	""""""Sum pairs of adjacent digits until the number is palidrome.""""""","['assert create_palindrome(123456) == False', 'assert create_palindrome(1234) == False', 'assert create_palindrome(123212) == True', 'assert create_palindrome(11211230) == True', 'assert create_palindrome(1112212124000131) == True']","def create_palindrome(n):
	""""""Sum pairs of adjacent digits until the number is palidrome.""""""
	palindrome = 0
	for i in range(n):
		palindrome += int(str(i) + str(n - i - 1))
	return palindrome

def main():
	""""""Main function.""""""
	n = int(input())
	print(create_palindrome(n))

if __name__ == '__main__':
	main()
<|endoftext|>","def create_palindrome(n):
	""""""Sum pairs of adjacent digits until the number is palidrome.""""""
	palindrome = 0
	for i in range(n):
		palindrome += int(str(i) + str(n - i - 1))
	return palindrome","def create_palindrome(n):
	""""""Sum pairs of adjacent digits until the number is palidrome.""""""
	palindrome = 0
	for i in range(n):
		palindrome += int(str(i) + str(n - i - 1))
	return palindrome"
44,44,"def simulate_backspace(input):
	""""""Apply the backspace characters in a string and print the modified .""""""","[""assert simulate_backspace('he@@l@hel@llo') == 'hello'"", ""assert simulate_backspace('@@@@') == ''"", ""assert simulate_backspace('si@@@t boy') == 't boy'"", ""assert simulate_backspace('a@b@c@d@e@f@g@h@i@jkl') == 'jkl'"", ""assert simulate_backspace('hello   @@world') == 'hello world'""]","def simulate_backspace(input):
	""""""Apply the backspace characters in a string and print the modified.""""""
	for i in range(len(input)):
		if input[i] =='':
			input = input[:i] + input[i+1:]
	print(input)

def simulate_delete(input):
	""""""Apply the delete characters in a string and print the modified.""""""
	for i in range(len(input)):
		if input[i] =='':
			input = input[:i] + input[i+1:]
	print(input)

def simulate_left(input):
	""""""Apply the left characters in a string","def simulate_backspace(input):
	""""""Apply the backspace characters in a string and print the modified.""""""
	for i in range(len(input)):
		if input[i] =='':
			input = input[:i] + input[i+1:]
	print(input)","def simulate_backspace(input):
	""""""Apply the backspace characters in a string and print the modified.""""""
	for i in range(len(input)):
		if input[i] =='':
			input = input[:i] + input[i+1:]
	return(input)"
